,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
0,#compass2.0 animation project,series,5,3.1,"الفجور, العنف",1,2025,1716
1,"'tis time for ""torture,"" princess",series,12,4.2,"تعاطي المخدرات/الكحول, الصور الجنسية, العنف",1,2024,6266
2,11eyes,series,12,3.8,"التدخين, العنف",1,2009,4702
3,16bit sensation: another layer,series,13,4.3,"تعاطي المخدرات/الكحول, التدخين, الصور الجنسية",1,2023,4294
4,18if,series,13,3.2,"الفجور, الصور الجنسية, العنف",1,2017,868
5,2.43: seiin high school boys volleyball team,series,12,4.1,"الفجور, الانتحار",1,2022,2100
6,365 days to the wedding,series,12,4.6,"تعاطي المخدرات/الكحول, الفجور, حوار ملمح",1,2024,18344
7,7th time loop: the villainess enjoys a carefree life married to her worst enemy!,series,12,4.9,"التدخين, العنف",1,2024,70229
8,86 eighty-six,series,26,4.9,"العري, الفجور, العنف",1,2021,91868
9,<dogeza>i tried asking while kowtowing.,series,12,2.9,العري,1,2020,1496
10,a bridge to the starry skies - hoshizora e kakaru hashi,series,13,4.3,"الفجور, الصور الجنسية",1,2011,2723
11,a centaur's life,series,12,3.6,"الصور الجنسية, حوار ملمح, العنف",1,2017,3123
12,a certain magical index,series,26,4.4,"العري, الفجور, التدخين, المحتوى الجنسي, العنف",1,2022,6456
13,a certain scientific accelerator,series,12,4.5,"العري, الفجور, التدخين, الانتحار, العنف",1,2019,4195
14,a certain scientific railgun,series,25,4.6,"الصور الجنسية, حوار ملمح, العنف",1,2022,5349
15,a condition called love,series,12,4.6,الفجور,1,2024,27554
16,a couple of cuckoos,series,24,4.5,"الفجور, الصور الجنسية, حوار ملمح",1,2022,43233
17,a dark rabbit has seven lives,series,13,4.2,"الفجور, الصور الجنسية, العنف",1,2011,1687
18,a destructive god sits next to me,series,12,4.0,الفجور,1,2020,1691
19,a galaxy next door,series,12,4.7,"الفجور, حوار ملمح",1,2023,19570
20,a girl & her guard dog,series,13,3.9,"تعاطي المخدرات/الكحول, العنف الجنسي, التدخين, حوار ملمح, العنف",1,2023,17666
21,"a herbivorous dragon of 5,000 years gets unfairly villainized",series,24,4.2,"الفجور, العنف",2,2023,8042
22,a journey through another world: raising kids while adventuring,series,12,4.6,"الفجور, العنف",1,2024,29900
23,a ninja and an assassin under one roof,series,4,4.4,العنف,1,2025,2235
24,a nobody’s way up to an exploration hero,series,12,4.0,"الصور الجنسية, العنف",1,2024,16891
25,a place further than the universe,series,13,4.8,unknown,1,2018,7926
26,a playthrough of a certain dude's vrmmo life,series,12,4.2,"الفجور, حوار ملمح, العنف",1,2023,20820
27,a returner's magic should be special,series,12,4.7,العنف,1,2023,43397
28,a salad bowl of eccentrics,series,12,4.5,"العري, الفجور, المحتوى الجنسي, حوار ملمح, العنف",1,2024,7295
29,a sign of affection,series,12,4.9,"تعاطي المخدرات/الكحول, الفجور",1,2024,88722
30,a sister's all you need.,series,12,4.3,"العري, الفجور, المحتوى الجنسي, حوار ملمح",1,2017,5597
31,a terrified teacher at ghoul school!,series,24,4.4,"الفجور, التدخين, العنف",1,2024,7206
32,a3!,series,24,4.3,الفجور,2,2022,867
33,abciee working diary,series,12,3.4,الفجور,1,2021,177
34,absolute duo,series,12,4.3,"العري, المحتوى الجنسي, العنف",1,2015,8182
35,ace attorney,series,47,4.3,"الفجور, العنف",2,2016,4498
36,ace of the diamond,series,179,4.8,"العري, الفجور, العنف",3,2013,8675
37,active raid,series,24,3.3,"تعاطي المخدرات/الكحول, العري, الفجور, الانتحار, العنف",2,2016,423
38,actors: songs connection,series,12,4.0,الفجور,1,2022,399
39,adachi and shimamura,series,12,4.4,"الصور الجنسية, حوار ملمح",1,2022,5777
40,africa salaryman,series,12,3.6,"التدخين, حوار ملمح, العنف",1,2022,357
